Required Tenor,estimated_sigma_s_square
0.08333333333333333,0.32225596902218384
0.16944444444444445,0.3462120491779421
0.25277777777777777,0.3846361758450215
0.3388888888888889,0.5575552542762758
0.4222222222222222,0.4963847113149067
0.5083333333333333,0.6263736432563477
0.5944444444444444,0.6128237473905539
0.6777777777777778,0.4822564308129679
0.7638888888888888,0.7055170379994294
0.8472222222222222,0.39625819979487065
0.9333333333333333,0.11473767454031099
1.0166666666666666,0.0002487905482235521
1.3944444444444444,0.0905463157827215
1.6472222222222221,0.08961077743261658
1.9,0.09159378904208437
2.1527777777777777,0.08668847970330794
2.4055555555555554,0.07708324201922394
2.6777777777777776,0.05909359534655604
2.9305555555555554,0.06341384406590313
3.1638888888888888,0.06343036194612214
3.436111111111111,0.049317215158504006
3.688888888888889,0.06147413992632697
3.941666666666667,0.06950694058755907
4.194444444444445,0.08038828683458613
4.447222222222222,0.0948253931382761
4.7,0.11338899127442895
4.9527777777777775,0.12135376662945922
5.205555555555556,0.14241420292784268
