Required Tenor,"phi(T1, T2)"
0.011111111111111113,0.00017525402313338655
0.08333333333333333,0.0011667883160536474
0.16944444444444445,0.00137744216429763
0.25277777777777777,0.0013136749563676668
0.33888888888888896,0.0013306294045798382
0.4222222222222222,0.0012409924610079818
0.5083333333333333,0.0012646991214141435
0.5944444444444444,0.0012159972767180835
0.6777777777777778,0.0011314629295086525
0.7638888888888888,0.0011482585979563482
0.8472222222222222,0.0010442798595398685
0.9333333333333332,0.0010440400262681318
1.0166666666666666,0.0009850838920362026
1.1416666666666666,0.001449151122884904
1.3944444444444444,0.0028797451528664907
1.647222222222222,0.002814349144744765
1.9,0.002768940806710596
2.1527777777777777,0.002756534876721946
2.4055555555555554,0.0027698249356644437
2.6777777777777776,0.0030142573321643145
2.930555555555556,0.0028236820612817003
3.1638888888888888,0.0026195583591097425
3.436111111111111,0.003078845511558645
3.688888888888889,0.0028818477072606354
3.941666666666667,0.002914608056995269
4.194444444444445,0.0029546451624803778
4.447222222222221,0.003003831228632259
4.7,0.003063715343605994
4.9527777777777775,0.0031344833190048763
5.2056,0.003213670018545629
6.021917808219178,0.011229602548004657
7.027397260273973,0.014511657507911592
8.027397260273974,0.015417714587584492
9.027397260273974,0.016143968672533048
10.024657534246575,0.0168201678464898
12.024657534246574,0.03984516859260007
15.03013698630137,0.07405078574736955
20.035616438356165,0.18003724120083758
25.04109589041096,0.19258282133914745
30.04383561643836,0.18905551260430267
