Required Tenor,Discount factor,Zero_Rate_Cubic_spline,"phi(0, T)",bootstrapped_sigma_r_square,bootstrapped_sigma_s_square,R_T
0.08333333333333333,0.9986592499456408,0.016099795966851026,0.001342042339187034,0.00623488457694546,0.32225596902218384,0.01575151828521174
0.16944444444444445,0.9972851669245654,0.016043753614937463,0.002719484503484664,0.0014421948095025077,0.08469204081303944,0.01566919706813322
0.25277777777777777,0.995976430269488,0.015949527292520173,0.004033159459852331,0.0006259024069396362,0.039832684292630385,0.015560733450082898
0.33888888888888896,0.9946525687413816,0.01582164573762793,0.0053637888644321695,0.0003426832983386932,0.026032197165921696,0.01536503798820016
0.4222222222222222,0.9934194601691012,0.015636995623950725,0.006604781325440151,0.00021611410110281248,0.01750833356093421,0.015163009450388528
0.5083333333333333,0.992164408914406,0.015474984859691412,0.007869480446854295,0.00014847488381332437,0.013249566764756372,0.0149561087650232
0.5944444444444444,0.9909591923188258,0.015278002630223312,0.009085477723572379,0.00010794429062201047,0.010276689455344788,0.01472957208168409
0.6777777777777778,0.9898390630131392,0.015068230349349787,0.010216940653081031,8.206965829850906e-05,0.007926741075918821,0.014522195498222094
0.7638888888888888,0.988703642306038,0.014872118598114478,0.01136519925103738,6.445882216692095e-05,0.006628174345430175,0.014293481093645437
0.8472222222222222,0.9876721670962488,0.014641319185791271,0.012409479110577248,5.199395745963509e-05,0.005299565779688211,0.01407712921699862
0.9333333333333332,0.9866420530511216,0.014408535937794176,0.01345351913684538,4.28098535606065e-05,0.004111148423122173,0.013884917688948029
1.0166666666666666,0.9856710746414176,0.014195976131098938,0.014438603028881582,3.58758620477534e-05,0.0031956381691220855,0.013721736196515202
1.1416666666666666,0.9842458435008598,0.013909114317179224,0.015887754151766485,3.412121633544176e-05,,
1.3944444444444444,0.9814330142004388,0.01344013098849703,0.018767499304632975,5.856608507952009e-05,2.8648997874487763e-06,0.013510307399315061
1.647222222222222,0.9786922240227676,0.01307538442692943,0.02158184844937774,5.9790908254231897e-05,0.00039805990237271884,0.013007956210733003
1.9,0.9760034055747812,0.012783791187741448,0.024350789256088336,5.482982216184862e-05,0.000515152075124352,0.012612731473111174
2.1527777777777777,0.9733327370323652,0.012555538850827854,0.027107324132810282,4.782135309928716e-05,0.0005255624758517726,0.012310320802905159
2.4055555555555554,0.9706564761560286,0.012380781140401122,0.029877149068474725,4.15600042467222e-05,0.0004909237081782924,0.012087187148513227
2.6777777777777776,0.967754956709132,0.01224013729571296,0.03289140640063904,3.67416118640819e-05,0.00043961965712823505,0.011914174329510962
2.930555555555556,0.9650420566217824,0.012142269930313108,0.035715088461920744,3.2092793713635415e-05,0.00039308399326224433,0.011795294968417523
3.1638888888888888,0.9625298385025108,0.012070655323348731,0.03833464682103049,2.8058226002183725e-05,0.0003514329075195401,0.011713534726690605
3.436111111111111,0.9595906312646716,0.012004417173287004,0.04141349233258913,2.506621638263014e-05,0.0003123316554789886,0.011635956005717554
3.688888888888889,0.9568449610446452,0.01195858893021192,0.044295340039849765,2.2318086385140312e-05,0.00028309095494257337,0.011577664528354193
3.941666666666667,0.9540758906205096,0.011926949881040365,0.047209948096845034,1.9988443211299126e-05,0.0002599253032608189,0.01153004721068197
4.194444444444445,0.9512767466437312,0.01190866955036139,0.05016459325932541,1.7999631361381953e-05,0.00024174389653016182,0.011491174183304425
4.447222222222221,0.948439163880772,0.011903527260761888,0.053168424487957666,1.6290214060791802e-05,0.00022775377833338039,0.011459554347882001
4.7,0.9455534200754228,0.011911679402789413,0.05623213983156366,1.4811426263421222e-05,0.00021733373595694873,0.011434017386096817
4.9527777777777775,0.9426097475596856,0.011933287956098076,0.05936662315056854,1.3524353715487037e-05,0.0002079381018283556,0.011421266068598971
5.2056,0.9395993179713042,0.01196821731768988,0.06258029316911416,1.2326160831320298e-05,0.00020089420012922734,0.011414594039536803
6.021917808219178,0.92956933682212,0.012128009896630106,0.07380989571711882,2.2307002257039057e-05,,
7.027397260273973,0.917028053756105,0.01232564646806364,0.08832155322503041,3.105414083348886e-05,,
8.027397260273974,0.903823063779564,0.012597067315301445,0.1037392678126149,3.223448445553735e-05,,
9.027397260273974,0.8901615043364499,0.012888805468247222,0.11988323648514795,3.079871893749466e-05,,
10.024657534246575,0.8761072736584741,0.013194140206494195,0.13670340433163775,2.8469090877265072e-05,,
12.024657534246574,0.8477693983984209,0.013733997459143284,0.1765485729242378,4.3018762846658855e-05,,
15.03013698630137,0.8059470195608531,0.014353646369782659,0.2505993586716074,6.885014906535607e-05,,
20.035616438356165,0.740914173328572,0.014966870961243797,0.43063659987244496,0.00011306072875406284,,
25.04109589041096,0.684354021964359,0.015146298746045856,0.6232194212115925,0.00011199210762668352,,
30.04383561643836,0.6342288188758161,0.015156036746382774,0.8122749338158951,9.83262839791418e-05,,
