Required Tenor,Discount factor,Zero_Rate_Cubic_spline,"phi(T1, T2)",sigma_r_square,sigma_s_square
0.08333333333333333,0.9986592499456408,0.016099795966851023,0.0013420596651408984,0.0065170156000757,0.31561612029598946
0.16944444444444445,0.9972851669245654,0.016043753614937463,0.0027195193331255346,0.001500229155036523,0.08936559269006243
0.25277777777777777,0.9959764302694879,0.015949527292520173,0.004033210176125904,0.0006506193112499267,0.044873327765389666
0.338888888888889,0.9946525687413815,0.01582164573762793,0.005363849672548197,0.00035528477520544783,0.03038875797812553
0.4222222222222222,0.9934194601691013,0.015636995623950725,0.006604851301106272,0.0002238472355911501,0.021379964797761566
0.5083333333333333,0.9921644089144059,0.015474984859691412,0.00786956051450511,0.0001537282670288666,0.016642863543463247
0.5944444444444444,0.9909591923188258,0.015278002630223312,0.009085566919014004,0.00011175398109626048,0.013300711618334682
0.6777777777777778,0.9898390630131392,0.015068230349349787,0.010217038141842914,8.499140067601529e-05,0.01067676000819424
0.7638888888888888,0.9887036423060381,0.014872118598114478,0.011365305867728666,6.678390776364847e-05,0.00911992188925739
0.8472222222222222,0.9876721670962488,0.014641319185791271,0.012409594020588973,5.390372521395857e-05,0.007599356759119988
0.9333333333333333,0.9866420530511215,0.014408535937794177,0.01345364317478739,4.441453369385483e-05,0.006244900821895968
1.0166666666666666,0.9856710746414177,0.014195976131098935,0.014438735360143189,3.725117100946153e-05,0.0051917974122597695
1.1416666666666666,0.9842458435008598,0.013909114317179224,0.015888147917246506,3.6374560967161795e-05,
1.3944444444444444,0.9814330142004387,0.013440130988497032,0.01877001480112828,6.556143617469367e-05,0.0004684613294626058
1.6472222222222221,0.9786922240227676,0.01307538442692943,0.02158648567689565,6.77493401661984e-05,0.0009548682338690151
1.9,0.9760034055747813,0.012783791187741448,0.024357548214613903,6.258142876857894e-05,0.0011110950783281002
2.1527777777777777,0.9733327370323653,0.012555538850827854,0.027116338121783795,5.507227495215715e-05,0.0011259731358396194
2.4055555555555554,0.9706564761560286,0.012380781140401122,0.02988841808789614,4.8203054674747124e-05,0.001078886590759968
2.6777777777777776,0.9677549567091319,0.012240137295712961,0.032905484688017655,4.2905807389087455e-05,0.0010037651480072729
2.9305555555555554,0.9650420566217823,0.012142269930313108,0.035731421779733485,3.7678571763144576e-05,0.0009337036636447491
3.1638888888888888,0.9625298385025107,0.012070655323348733,0.03835275832496112,3.3089713264541927e-05,0.0008706362818536611
3.436111111111111,0.9595906312646715,0.012004417173287001,0.04143441310447666,2.9716769965906288e-05,0.0008044587271375665
3.688888888888889,0.9568449610446451,0.011958588930211919,0.04431851584217314,2.6578790618746305e-05,0.0007518790989759556
3.941666666666667,0.9540758906205095,0.011926949881040363,0.04723537892961641,2.3908889692180428e-05,0.0007064632468490122
4.194444444444445,0.9512767466437313,0.01190866955036139,0.050192279122544474,2.162205034933829e-05,0.0006672757563376126
4.447222222222222,0.9484391638807719,0.011903527260761887,0.05319836538098384,1.9650493871025737e-05,0.0006335539432457821
4.7,0.9455534200754229,0.011911679402789411,0.05626433575499845,1.7940099842072524e-05,0.0006046449764066936
4.9527777777777775,0.9426097475596857,0.011933287956098076,0.05940107410446313,1.6447471371344728e-05,0.0005781206422105209
5.2056,0.9395993179713042,0.011968217317689881,0.06262020416233037,1.521330559085803e-05,0.0005550374149956458
6.021917808219178,0.92956933682212,0.012128009896630106,0.07402711961947266,3.118702842602108e-05,
7.027397260273973,0.917028053756105,0.012325646468063639,0.08886611040386085,4.540818539814938e-05,
8.027397260273972,0.903823063779564,0.012597067315301446,0.10460594987977724,4.8227685758720037e-05,
9.027397260273972,0.89016150433645,0.012888805468247222,0.12107204344005697,4.6929499052555754e-05,
10.024657534246575,0.876107273658474,0.013194140206494197,0.1382117523600831,4.409671167495485e-05,
12.024657534246575,0.847769398398421,0.013733997459143284,0.1796453977144389,6.500578551731851e-05,
15.03013698630137,0.805947019560853,0.01435364636978266,0.25862295839760213,0.00010483470334368476,
20.035616438356165,0.740914173328572,0.014966870961243798,0.47442398766605237,0.00019951545587085456,
25.041095890410958,0.684354021964359,0.015146298746045856,0.6857133141524414,0.0001981450293086768,
30.043835616438358,0.634228818875816,0.015156036746382774,0.8934502269241545,0.00018065714275695367,
k,theta,rho,ed_fund_rate_fitting_used_model,,
0.03,0.03,0.22,Cubic_spline,,
