Required Tenor,Zero_Rate_Cubic_spline,Discount_Factor_Cubic_spline,Zero_Rate_NS,Discount_Factor_NS,Zero_Rate_NSS,Discount_Factor_NSS
0.011111111111111112,0.015772733794544757,0.9998247627581223,0.016424550680176758,0.9998175216436435,0.014951298374169865,0.9998338882605923
0.08333333333333333,0.016099795966851023,0.9986592499456408,0.01621780428437323,0.9986494291524411,0.014932920110068663,0.9987563639478898
0.16944444444444445,0.016043753614937463,0.9972851669245654,0.01598161623786521,0.9972956672291554,0.01491114431379734,0.9974765786296736
0.25277777777777777,0.015949527292520173,0.9959764302694879,0.015763347428461652,0.9960233041470042,0.014890211583225193,0.9962431600529827
0.338888888888889,0.01582164573762793,0.9946525687413815,0.015548040678435276,0.9947447989086947,0.01486872629522092,0.9949738275559386
0.4222222222222222,0.015636995623950725,0.9934194601691013,0.015349212154843481,0.9935401764868088,0.014848074339771773,0.993750423407288
0.5083333333333333,0.015474984859691412,0.9921644089144059,0.01515322937078488,0.992326699644539,0.014826878605253481,0.9924913353108032
0.5944444444444444,0.015278002630223312,0.9909591923188258,0.01496650572708976,0.9911427028472409,0.01480582964180702,0.9912373743875238
0.6777777777777778,0.015068230349349787,0.9898390630131391,0.01479428221331622,0.9900228693939732,0.014785599145036334,0.9900286958845248
0.7638888888888888,0.014872118598114478,0.9887036423060381,0.014624739554539993,0.9888904953891618,0.014764838128816151,0.9887846702440563
0.8472222222222222,0.014641319185791271,0.9876721670962488,0.014468504400138457,0.987816785260515,0.014744885773514144,0.9875855086758979
0.9333333333333333,0.014408535937794177,0.9866420530511215,0.014314847327913955,0.9867283314708487,0.014724411647535584,0.9863512167501685
1.0166666666666666,0.014195976131098935,0.9856710746414177,0.014173392240574512,0.985693706193667,0.014704736411163467,0.9851613783401555
1.1416666666666666,0.013909114317179224,0.9842458435008598,0.01397397504781897,0.9841729634499045,0.014675478290861459,0.9833850717298108
1.3944444444444444,0.013440130988497032,0.9814330142004387,0.013614289734348273,0.9811946975238529,0.014617242858247344,0.9798233946512227
1.6472222222222221,0.01307538442692943,0.9786922240227676,0.013307455452661671,0.9783181683500837,0.014560247461844408,0.9763013664014464
1.9,0.012783791187741448,0.9760034055747813,0.013047497988145827,0.9755145084672175,0.014504485129667677,0.9728177498939488
2.1527777777777777,0.012555538850827854,0.9733327370323653,0.012829071360713812,0.9727597541853326,0.014449948863786782,0.9693713321317124
2.4055555555555554,0.012380781140401122,0.9706564761560286,0.012647393741176113,0.9700341438320185,0.014396631677496094,0.9659609236333837
2.6777777777777776,0.012240137295712961,0.9677549567091319,0.01248794526845042,0.9671129920402521,0.01434056849112296,0.9623271093289423
2.9305555555555554,0.012142269930313108,0.9650420566217823,0.012369452146272206,0.9643997743002257,0.014289760874009114,0.9589877881543099
3.1638888888888888,0.012070655323348733,0.9625298385025107,0.012282328270612125,0.9618854387511363,0.014243924603484504,0.9559342018777124
3.436111111111111,0.012004417173287003,0.9595906312646715,0.012204426340501055,0.9589313755958458,0.014191731269160346,0.9524055228593864
3.688888888888889,0.011958588930211919,0.9568449610446451,0.01215217920033824,0.956161890416128,0.014144495267524426,0.9491604030393032
3.941666666666667,0.011926949881040365,0.9540758906205095,0.012116808689032671,0.9533621653534389,0.014098435789097724,0.9459445428752956
4.194444444444445,0.01190866955036139,0.9512767466437313,0.012096174179262443,0.9505288827770476,0.014053545828663194,0.9427569062515609
4.447222222222222,0.011903527260761887,0.9484391638807719,0.01208836966063936,0.9476598338383809,0.014009818363059118,0.9395964771115994
4.7,0.011911679402789411,0.9455534200754229,0.01209169932957013,0.9447537316787573,0.013967246383535775,0.9364622589633234
4.9527777777777775,0.011933287956098076,0.9426097475596857,0.012104655657468766,0.9418100505897888,0.013925822869810839,0.9333532746237704
5.2056,0.011968217317689881,0.9395993179713042,0.012125904081257214,0.9388283603745828,0.013885533816286877,0.9302680255557179
6.021917808219178,0.012128009896630106,0.92956933682212,0.01223783999873879,0.928954734226837,0.013763159458077434,0.9204610298659394
7.027397260273973,0.012325646468063639,0.917028053756105,0.012433350819460717,0.9163342350060497,0.013628337978420613,0.9086714012159082
8.027397260273972,0.012597067315301446,0.903823063779564,0.012656674657742319,0.9033906952898079,0.013511259026310118,0.897214564047686
9.027397260273972,0.012888805468247222,0.89016150433645,0.012886618416459505,0.8901790793115183,0.01341070423067009,0.8859774726260242
10.024657534246575,0.013194140206494197,0.876107273658474,0.013109975592152547,0.87684677606801,0.013326446431871974,0.8749460412857656
12.024657534246575,0.013733997459143284,0.847769398398421,0.01351687788413708,0.8499856368288305,0.013203938095670775,0.8531901530035456
15.03013698630137,0.01435364636978266,0.805947019560853,0.014006319943162109,0.8101653572318357,0.013129855939626234,0.8209085753672545
20.035616438356165,0.014966870961243798,0.740914173328572,0.014557439231285009,0.7470170505342906,0.013270235350189563,0.7665331404567055
25.041095890410958,0.015146298746045856,0.684354021964359,0.014904038980482131,0.688518239672913,0.013692054250749153,0.7097346980964337
30.043835616438358,0.015156036746382774,0.634228818875816,0.015137337714967392,0.6345852227838323,0.014338961272437611,0.6499905885314967
